"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2468715","Afarin  Pirzadeh and Li  He and Erik  Stolterman","","","","Personal Informatics and Reflection: A Critical Examination of the Nature of Reflection","1979--1988","","10","journaling, personal informatics, reflection","10.1145/2468356.2468715","","","","","","","2013","","CHI '13 Extended Abstracts on Human Factors in Computing Systems","CHI EA '13","","978-1-4503-1952-2","Paris, France","ACM","New York, NY, USA"
"article","2641323","Jason  Zietz","","","","Be Like Water: Suggestions for Handling Undesirable Hardware Outcomes in Personal Informatics Fieldwork","711--714","","4","personal informatics, sustainability","10.1145/2638728.2641323","","","","","","","2014","","Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication","UbiComp '14 Adjunct","","978-1-4503-3047-3","Seattle, Washington","ACM","New York, NY, USA"
"article","2801646","Elizabeth L. Murnane","","","","Exploring a Theory-guided Path to the Design of Personal Informatics and Intervention Technologies","447--452","","6","intervention, personal informatics, personalization","10.1145/2800835.2801646","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2858045","Daniel A. Epstein and Monica  Caraway and Chuck  Johnston and An  Ping and James  Fogarty and Sean A. Munson","","","","Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use","1109--1113","","5","abandonment, personal informatics, self-tracking","10.1145/2858036.2858045","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","3173936","R&#250;ben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl","","","","Activity Tracking in Vivo","362:1--362:13","362","13","personal informatics, physical activity tracking","10.1145/3173574.3173936","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","2858397","Orit  Shaer and Oded  Nov and Johanna  Okerlund and Martina  Balestra and Elizabeth  Stowell and Lauren  Westendorf and Christina  Pollalis and Jasmine  Davis and Liliana  Westort and Madeleine  Ball","","","","GenomiX: A Novel Interaction Tool for Self-Exploration of Personal Genomic Data","661--672","","12","personal genomics, personal informatics, uncertainty","10.1145/2858036.2858397","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2800959","Dize  Hilviu and Amon  Rapp","","","","Narrating the Quantified Self","1051--1056","","6","personal informatics, quantified self, storytelling","10.1145/2800835.2800959","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2968329","Federica  Cena and Silvia  Likavec and Amon  Rapp and Alessandro  Marcengo","","","","An Ontology for Quantified Self: Capturing the Concepts Behind the Numbers","602--604","","3","ontologies, personal informatics, quantified self","10.1145/2968219.2968329","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3240973","Adele  Parsons and Chia-Fang  Chung and Molly  Donohue and Sean A. Munson and Eric J. Seibel","","","","Opportunities for Oral Health Monitoring Technologies Beyond the Dental Clinic","327--335","","9","Health, Oral Health, Personal Informatics","10.1145/3240925.3240973","","","","","","","2018","","Proceedings of the 12th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '18","","978-1-4503-6450-8","New York, NY, USA","ACM","New York, NY, USA"
"article","2802090","Amon  Rapp and Federica  Cena","","","","Affordances for Self-tracking Wearable Devices","141--142","","2","affordances, personal informatics, wearable devices","10.1145/2802083.2802090","","","","","","","2015","","Proceedings of the 2015 ACM International Symposium on Wearable Computers","ISWC '15","","978-1-4503-3578-2","Osaka, Japan","ACM","New York, NY, USA"
