keywords,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
total # publications,7,7,17,33,28,61,71,101,98,21
wearables,1,0,2,3,6,8,10,16,17,3
health,1,3,5,1,7,7,12,19,13,5
reflection,0,0,1,3,2,3,3,2,1,0
sleep,0,1,1,1,1,0,1,1,1,0
older adults,0,1,0,0,1,0,1,2,1,0
experience sampling,0,0,0,0,1,1,2,4,2,0
lived informatics,0,0,0,0,0,1,0,2,1,2
diabetes,1,0,4,1,1,0,4,7,2,1
visualization,0,0,2,0,2,2,3,7,3,0
hci,0,0,0,1,4,1,4,5,3,0
wellness,0,0,1,1,5,2,5,1,3,0
persuasive technology,0,0,2,2,3,9,4,11,7,1
fitness,0,0,1,1,3,5,3,7,3,0
behavior change,1,0,1,0,1,3,4,2,1,0
design,0,0,0,1,0,1,1,5,2,2
chronic disease management,0,0,0,1,1,0,1,1,0,2
collaboration,0,0,0,1,1,0,0,3,1,0
activity recognition,0,0,3,1,0,0,2,2,0,1
lifelogging,0,0,0,1,0,0,1,1,2,1
participatory design,1,0,1,0,0,0,0,2,3,0
social media,0,0,0,0,0,1,1,2,1,0
mental health,0,0,1,1,1,0,3,1,1,1
privacy,0,0,2,1,0,0,0,1,0,1
learning analytics,0,0,0,1,1,0,0,1,2,0
user modeling,0,0,0,0,0,0,0,0,0,0
