id,URL,author,title,keywords,doi,journal,volume,issue_no,year,acronym
2858397,https://dl.acm.org/citation.cfm?id=2858397,Orit  Shaer and Oded  Nov and Johanna  Okerlund and Martina  Balestra and Elizabeth  Stowell and Lauren  Westendorf and Christina  Pollalis and Jasmine  Davis and Liliana  Westort and Madeleine  Ball,GenomiX: A Novel Interaction Tool for Self-Exploration of Personal Genomic Data,"personal genomics, personal informatics, uncertainty",10.1145/2858036.2858397,,,,2016,CHI '16
2858045,https://dl.acm.org/citation.cfm?id=2858045,Daniel A. Epstein and Monica  Caraway and Chuck  Johnston and An  Ping and James  Fogarty and Sean A. Munson,Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use,"abandonment, personal informatics, self-tracking",10.1145/2858036.2858045,,,,2016,CHI '16
3173936,https://dl.acm.org/citation.cfm?id=3173936,R&#250;ben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl,Activity Tracking in Vivo,"personal informatics, physical activity tracking",10.1145/3173574.3173936,,,,2018,CHI '18
2802090,https://dl.acm.org/citation.cfm?id=2802090,Amon  Rapp and Federica  Cena,Affordances for Self-tracking Wearable Devices,"affordances, personal informatics, wearable devices",10.1145/2802083.2802090,,,,2015,ISWC '15
3240973,https://dl.acm.org/citation.cfm?id=3240973,Adele  Parsons and Chia-Fang  Chung and Molly  Donohue and Sean A. Munson and Eric J. Seibel,Opportunities for Oral Health Monitoring Technologies Beyond the Dental Clinic,"Health, Oral Health, Personal Informatics",10.1145/3240925.3240973,,,,2018,PervasiveHealth '18
3173581,https://dl.acm.org/citation.cfm?id=3173581,Andrew  Garbett and David  Chatting and Gerard  Wilkinson and Clement  Lee and Ahmed  Kharrufa,ThinkActive: Designing for Pseudonymous Activity Tracking in the Classroom,"classroom, education, personal informatics, pseudonymous",10.1145/3173574.3173581,,,,2018,CHI '18
2858044,https://dl.acm.org/citation.cfm?id=2858044,Daniel A. Epstein and Felicia  Cordeiro and James  Fogarty and Gary  Hsieh and Sean A. Munson,Crumbs: Lightweight Daily Food Challenges to Promote Engagement and Mindfulness,"daily challenges, food, mindfulness, personal informatics",10.1145/2858036.2858044,,,,2016,CHI '16
2702155,https://dl.acm.org/citation.cfm?id=2702155,Felicia  Cordeiro and Daniel A. Epstein and Edison  Thomaz and Elizabeth  Bales and Arvind K. Jagannathan and Gregory D. Abowd and James  Fogarty,Barriers and Negative Nudges: Exploring Challenges in Food Journaling,"barriers, food journals, negative nudges, personal informatics",10.1145/2702123.2702155,,,,2015,CHI '15
3196738,https://dl.acm.org/citation.cfm?id=3196738,Jessica  Schroeder and Chia-Fang  Chung and Daniel A. Epstein and Ravi  Karkar and Adele  Parsons and Natalia  Murinova and James  Fogarty and Sean A. Munson,"Examining Self-Tracking by People with Migraine: Goals, Needs, and Opportunities in a Chronic Health Condition","chronic condition, health, migraine, personal informatics",10.1145/3196709.3196738,,,,2018,DIS '18
2702276,https://dl.acm.org/citation.cfm?id=2702276,Logan  Kendall and Dan  Morris and Desney  Tan,Blood Pressure Beyond the Clinic: Rethinking a Health Metric for Everyone,"blood pressure, personal informatics, self-monitoring",10.1145/2702123.2702276,,,,2015,CHI '15
1753409,https://dl.acm.org/citation.cfm?id=1753409,Ian  Li and Anind  Dey and Jodi  Forlizzi,A Stage-based Model of Personal Informatics Systems,"barriers, collection, model, personal informatics, reflection",10.1145/1753326.1753409,,,,2010,CHI '10
3130911,https://dl.acm.org/citation.cfm?id=3130911,Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang,Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments,"personal informatics, quantified self, self-tracking",10.1145/3130911,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,1,3,2017,
3134671,https://dl.acm.org/citation.cfm?id=3134671,Mayara  Costa Figueiredo and Clara  Caldeira and Tera L. Reynolds and Sean  Victory and Kai  Zheng and Yunan  Chen,Self-Tracking for Fertility Care: Collaborative Support for a Highly Personalized Problem,"fertility care, personal informatics, self-tracking",10.1145/3134671,Proc. ACM Hum.-Comput. Interact.,1,CSCW,2017,
2702154,https://dl.acm.org/citation.cfm?id=2702154,Felicia  Cordeiro and Elizabeth  Bales and Erin  Cherry and James  Fogarty,Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture,"food journals, personal informatics, photos, self-tracking",10.1145/2702123.2702154,,,,2015,CHI '15
