keywords,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(total # publications),7,7,17,32,27,56,70,94,91,21
,,,,,,,,,,
reflection,1,2,5,2,3,3,5,8,6,2
self-monitoring,0,0,0,0,3,3,3,8,2,2
self-management,0,1,0,0,1,2,2,0,2,2
self-reflection,0,0,0,1,0,1,1,2,2,0
self-experimentation,0,0,0,0,1,0,0,3,2,0
,,,,,,,,,,
wearables,0,0,0,0,1,2,0,2,1,0
wearable,0,1,0,1,2,8,5,9,7,1
wearable devices,0,0,0,0,0,2,0,3,4,1
,,,,,,,,,,
persuasive technology,0,0,1,0,2,2,0,0,1,0
gamification,0,0,0,0,1,0,5,0,1,0
,,,,,,,,,,
health,1,1,2,4,7,18,12,28,27,9
mhealth,0,0,0,0,0,0,0,0,5,1
mobile health,0,0,0,0,1,1,0,1,2,0
health informatics,0,0,1,0,1,0,2,3,3,1
,,,,,,,,,,
fitness,0,0,0,0,2,5,1,6,3,0
activity tracker,0,0,0,1,0,4,1,3,2,1
activity tracking,0,0,0,0,1,2,2,2,3,0
physical activity,0,0,1,3,1,5,1,4,9,0
,,,,,,,,,,
wellness,0,0,0,0,2,0,1,5,3,0
wellbeing,0,0,0,1,1,2,0,2,1,0
well-being,0,0,0,0,0,1,1,1,3,0
,,,,,,,,,,
chronic disease management,0,0,0,1,0,1,1,2,0,1
patient-generated data,0,0,0,0,0,0,1,4,2,2
,,,,,,,,,,
lived informatics,0,0,0,0,0,1,2,1,1,0
engagement,0,0,0,0,1,0,3,3,5,0
,,,,,,,,,,
behavior change,0,0,0,1,1,5,1,6,3,1
behaviour change,0,0,1,0,0,2,1,1,1,0
,,,,,,,,,,
visualization,1,1,5,1,1,0,6,9,7,4
data visualization,0,0,1,1,0,0,0,3,0,1
,,,,,,,,,,
hci,0,0,0,0,2,1,0,0,1,1
human-computer interaction,0,0,2,0,0,1,1,1,0,0
user experience,0,0,0,0,1,1,1,3,1,0
,,,,,,,,,,
sleep,0,0,1,4,2,3,4,2,2,0
,,,,,,,,,,
diabetes,0,0,0,0,0,1,0,2,1,2
,,,,,,,,,,
older adults,0,1,1,1,1,0,1,1,0,0
,,,,,,,,,,
mental health,0,0,0,0,0,0,1,2,1,0
,,,,,,,,,,
learning analytics,0,0,2,1,0,0,0,1,0,1
,,,,,,,,,,
user modeling,0,0,0,1,1,0,0,1,2,0
,,,,,,,,,,
collaboration,0,0,0,1,1,0,2,3,1,2
,,,,,,,,,,
lifelogging,0,0,3,1,0,0,1,1,0,1
,,,,,,,,,,
social media,1,0,1,0,0,0,0,2,2,0
,,,,,,,,,,
privacy,0,0,1,0,1,0,3,1,2,2
,,,,,,,,,,
activity recognition,0,0,0,1,1,0,0,3,1,0
,,,,,,,,,,
experience sampling,0,1,0,0,1,0,1,2,0,0
,,,,,,,,,,
design,2,2,2,4,1,9,9,8,11,2
,,,,,,,,,,
participatory design,0,0,0,1,0,0,1,1,2,1
