type,id,URL,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2858397,https://dl.acm.org/citation.cfm?id=2858397,Orit  Shaer and Oded  Nov and Johanna  Okerlund and Martina  Balestra and Elizabeth  Stowell and Lauren  Westendorf and Christina  Pollalis and Jasmine  Davis and Liliana  Westort and Madeleine  Ball,,,,GenomiX: A Novel Interaction Tool for Self-Exploration of Personal Genomic Data,661--672,,12,"personal genomics, personal informatics, uncertainty",10.1145/2858036.2858397,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2858045,https://dl.acm.org/citation.cfm?id=2858045,Daniel A. Epstein and Monica  Caraway and Chuck  Johnston and An  Ping and James  Fogarty and Sean A. Munson,,,,Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use,1109--1113,,5,"abandonment, personal informatics, self-tracking",10.1145/2858036.2858045,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,3173936,https://dl.acm.org/citation.cfm?id=3173936,R&#250;ben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl,,,,Activity Tracking in Vivo,362:1--362:13,362,13,"personal informatics, physical activity tracking",10.1145/3173574.3173936,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2802090,https://dl.acm.org/citation.cfm?id=2802090,Amon  Rapp and Federica  Cena,,,,Affordances for Self-tracking Wearable Devices,141--142,,2,"affordances, personal informatics, wearable devices",10.1145/2802083.2802090,,,,,,,2015,,Proceedings of the 2015 ACM International Symposium on Wearable Computers,ISWC '15,,978-1-4503-3578-2,"Osaka, Japan",ACM,"New York, NY, USA"
article,3240973,https://dl.acm.org/citation.cfm?id=3240973,Adele  Parsons and Chia-Fang  Chung and Molly  Donohue and Sean A. Munson and Eric J. Seibel,,,,Opportunities for Oral Health Monitoring Technologies Beyond the Dental Clinic,327--335,,9,"Health, Oral Health, Personal Informatics",10.1145/3240925.3240973,,,,,,,2018,,Proceedings of the 12th EAI International Conference on Pervasive Computing Technologies for Healthcare,PervasiveHealth '18,,978-1-4503-6450-8,"New York, NY, USA",ACM,"New York, NY, USA"
article,3173581,https://dl.acm.org/citation.cfm?id=3173581,Andrew  Garbett and David  Chatting and Gerard  Wilkinson and Clement  Lee and Ahmed  Kharrufa,,,,ThinkActive: Designing for Pseudonymous Activity Tracking in the Classroom,7:1--7:13,7,13,"classroom, education, personal informatics, pseudonymous",10.1145/3173574.3173581,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2858044,https://dl.acm.org/citation.cfm?id=2858044,Daniel A. Epstein and Felicia  Cordeiro and James  Fogarty and Gary  Hsieh and Sean A. Munson,,,,Crumbs: Lightweight Daily Food Challenges to Promote Engagement and Mindfulness,5632--5644,,13,"daily challenges, food, mindfulness, personal informatics",10.1145/2858036.2858044,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2702155,https://dl.acm.org/citation.cfm?id=2702155,Felicia  Cordeiro and Daniel A. Epstein and Edison  Thomaz and Elizabeth  Bales and Arvind K. Jagannathan and Gregory D. Abowd and James  Fogarty,,,,Barriers and Negative Nudges: Exploring Challenges in Food Journaling,1159--1162,,4,"barriers, food journals, negative nudges, personal informatics",10.1145/2702123.2702155,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,3196738,https://dl.acm.org/citation.cfm?id=3196738,Jessica  Schroeder and Chia-Fang  Chung and Daniel A. Epstein and Ravi  Karkar and Adele  Parsons and Natalia  Murinova and James  Fogarty and Sean A. Munson,,,,"Examining Self-Tracking by People with Migraine: Goals, Needs, and Opportunities in a Chronic Health Condition",135--148,,14,"chronic condition, health, migraine, personal informatics",10.1145/3196709.3196738,,,,,,,2018,,Proceedings of the 2018 Designing Interactive Systems Conference,DIS '18,,978-1-4503-5198-0,"Hong Kong, China",ACM,"New York, NY, USA"
article,2702276,https://dl.acm.org/citation.cfm?id=2702276,Logan  Kendall and Dan  Morris and Desney  Tan,,,,Blood Pressure Beyond the Clinic: Rethinking a Health Metric for Everyone,1679--1688,,10,"blood pressure, personal informatics, self-monitoring",10.1145/2702123.2702276,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,1753409,https://dl.acm.org/citation.cfm?id=1753409,Ian  Li and Anind  Dey and Jodi  Forlizzi,,,,A Stage-based Model of Personal Informatics Systems,557--566,,10,"barriers, collection, model, personal informatics, reflection",10.1145/1753326.1753409,,,,,,,2010,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '10,,978-1-60558-929-9,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
