"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2674467","George  Galanakis and Xenophon  Zabulis and Panagiotis  Koutlemanis and Spiros  Paparoulis and Vassilis  Kouroumalis","","","","Tracking Persons Using a Network of RGBD Cameras","63:1--63:4","63","4","RGBD, camera network, person tracking","10.1145/2674396.2674467","","","","","","","2014","","Proceedings of the 7th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '14","","978-1-4503-2746-6","Rhodes, Greece","ACM","New York, NY, USA"
"article","1731792","Andrea  Girardello and Giancarlo  Succi","","","","GPROM: A Tool for Non-invasive Personal Tracking","48:1--48:5","48","5","Android, PROM, measurements, mobile phone, personal tracking","10.1145/1731740.1731792","","","","","","","2009","","Proceedings of the International Conference on Computer Systems and Technologies and Workshop for PhD Students in Computing","CompSysTech '09","","978-1-60558-986-2","Ruse, Bulgaria","ACM","New York, NY, USA"
"article","2806301","Yuki  Nagai and Daisuke  Kamisaka and Naoya  Makibuchi and Jianfeng  Xu and Shigeyuki  Sakazawa","","","","3D Person Tracking In World Coordinates and Attribute Estimation with PDR","1139--1142","","4","person tracking, structured prediction, tracking-by-detection","10.1145/2733373.2806301","","","","","","","2015","","Proceedings of the 23rd ACM International Conference on Multimedia","MM '15","","978-1-4503-3459-4","Brisbane, Australia","ACM","New York, NY, USA"
"article","3201068","Konstantina  Lazaridou and Toni  Gruetze and Felix  Naumann","","","","Where in the World Is Carmen Sandiego?: Detecting Person Locations via Social Media Discussions","229--238","","10","event detection, person tracking, text classification","10.1145/3201064.3201068","","","","","","","2018","","Proceedings of the 10th ACM Conference on Web Science","WebSci '18","","978-1-4503-5563-6","Amsterdam, Netherlands","ACM","New York, NY, USA"
"article","3053080","Davis  Buls and John  Rooksby","","","","Technology for Self-Management of Rosacea: A Survey and Field Trial","1516--1523","","8","personal tracking, prototype, self management, survey","10.1145/3027063.3053080","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","1181048","Kevin  Smith and Sileye O. Ba and Daniel  Gatica-Perez and Jean-Marc  Odobez","","","","Tracking the Multi Person Wandering Visual Focus of Attention","265--272","","8","MCMC, head pose tracking, multi-person tracking","10.1145/1180995.1181048","","","","","","","2006","","Proceedings of the 8th International Conference on Multimodal Interfaces","ICMI '06","","1-59593-541-X","Banff, Alberta, Canada","ACM","New York, NY, USA"
"article","2559641","Armando  Pesenti Gritti and Oscar  Tarabini and Alessandro  Giusti and Jerome  Guzzi and Gianni A. Di Caro and Vincenzo  Caglioti and Luca M. Gambardella","","","","Perceiving People from a Low-lying Viewpoint","109--109","","1","machine learning, person tracking, robot perception","10.1145/2559636.2559641","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","1291332","Andreas  Girgensohn and Don  Kimber and Jim  Vaughan and Tao  Yang and Frank  Shipman and Thea  Turner and Eleanor  Rieffel and Lynn  Wilcox and Francine  Chen and Tony  Dunnigan","","","","DOTS: Support for Effective Video Surveillance","423--432","","10","multiple video streams, person tracking, security cameras, video surveillance","10.1145/1291233.1291332","","","","","","","2007","","Proceedings of the 15th ACM International Conference on Multimedia","MM '07","","978-1-59593-702-5","Augsburg, Germany","ACM","New York, NY, USA"
"article","1878081","Aristodemos  Pnevmatikakis and Nikos  Katsarakis and Paul  Chippendale and Claudio  Andreatta and Stefano  Messelodi and Carla Maria  Modena and Francesco  Tobia","","","","Tracking for Context Extraction in Athletic Events","67--72","","6","face and text detection, motion analysis, person tracking, scene segmentation","10.1145/1878061.1878081","","","","","","","2010","","Proceedings of the 2010 ACM Workshop on Social, Adaptive and Personalized Multimedia Interaction and Access","SAPMIA '10","","978-1-4503-0171-8","Firenze, Italy","ACM","New York, NY, USA"
"article","1095260","Teresa H. Ko and Nina M. Berry","","","","Distributed Calibration and Tracking with Low-power Image Sensors","40--43","","4","distributed coordination, image processing, person tracking, wireless sensor networks","10.1145/1095242.1095260","","","","","","","2005","","Proceedings of the 2005 Conference on Diversity in Computing","TAPIA '05","","1-59593-257-7","Albuquerque, New Mexico, USA","ACM","New York, NY, USA"
"article","958441","Sebastian  Lang and Marcus  Kleinehagenbrock and Sascha  Hohenner and Jannik  Fritsch and Gernot A. Fink and Gerhard  Sagerer","","","","Providing the Basis for Human-robot-interaction: A Multi-modal Attention System for a Mobile Robot","28--35","","8","attention, human-robot-interaction, multi-modal person tracking","10.1145/958432.958441","","","","","","","2003","","Proceedings of the 5th International Conference on Multimodal Interfaces","ICMI '03","","1-58113-621-8","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3011122","Thuy Thi Thanh Pham and Thi-Lan  Le and Trung-Kien  Dao","","","","Fusion of Wifi and Visual Signals for Person Tracking","345--351","","7","Kalman filter, camera, fusion method, optimal algorithm, person tracking, wifi","10.1145/3011077.3011122","","","","","","","2016","","Proceedings of the Seventh Symposium on Information and Communication Technology","SoICT '16","","978-1-4503-4815-7","Ho Chi Minh City, Vietnam","ACM","New York, NY, USA"
"article","2906935","Alhayat Ali  Mekonnen and Fr&#233;d&#233;ric  Lerasle and Ariane  Herbulot","","","","Improving Robot Reactivity to Passers-by with a Faster People Detector","477--478","","2","multi-person tracking, robot navigation, vision for robotics","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","2447595","Guillaume  Doisy and Aleksandar  Jevti&#263; and Sa&#353;a  Bodiro&#382;a","","","","Spatially Unconstrained, Gesture-based Human-robot Interaction","117--118","","2","gesture recognition, human-robot interaction, person following, person tracking","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","1866001","Wolfgang  Schriebl and Bernhard  Rinner","","","","A Resource-aware Distributed Event Space for Pervasive Smart Camera Networks","82--87","","6","distributed person tracking, event distribution, middleware, smart cameras","10.1145/1865987.1866001","","","","","","","2010","","Proceedings of the Fourth ACM/IEEE International Conference on Distributed Smart Cameras","ICDSC '10","","978-1-4503-0317-0","Atlanta, Georgia","ACM","New York, NY, USA"
"article","2891092","Eitan  Mendelowitz and Damon  Seeley and David  Glicksman","","","","Whorl: An Immersive Dive into a World of Flowers, Color, and Play","3871--3874","","4","digital ecology, embodied interaction, interactive environment, interactivity, person-tracking","10.1145/2851581.2891092","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","958460","Kai  Nickel and Rainer  Stiefelhagen","","","","Pointing Gesture Recognition Based on 3D-tracking of Face, Hands and Head Orientation","140--146","","7","computer vision, gesture recognition, person tracking, pointing gestures","10.1145/958432.958460","","","","","","","2003","","Proceedings of the 5th International Conference on Multimodal Interfaces","ICMI '03","","1-58113-621-8","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3010919","John  Rooksby and Parvin  Asadzadeh and Alistair  Morrison and Claire  McCallum and Cindy  Gray and Matthew  Chalmers","","","","Implementing Ethics for a Mobile App Deployment","406--415","","10","consent, deployment, mobile app, personal tracking, research ethics","10.1145/3010915.3010919","","","","","","","2016","","Proceedings of the 28th Australian Conference on Computer-Human Interaction","OzCHI '16","","978-1-4503-4618-4","Launceston, Tasmania, Australia","ACM","New York, NY, USA"
"article","1228720","Rachel  Gockley and Jodi  Forlizzi and Reid  Simmons","","","","Natural Person-following Behavior for Social Robots","17--24","","8","human-robot interaction, person following, person tracking, social robots","10.1145/1228716.1228720","","","","","","","2007","","Proceedings of the ACM/IEEE International Conference on Human-robot Interaction","HRI '07","","978-1-59593-617-2","Arlington, Virginia, USA","ACM","New York, NY, USA"
"article","1593150","Tucker  Watson and Tim  Hammond and Will  Pressly","","","","CU Safe: A Software Tool for Campus Safety","176--179","","4","GPS, J2ME, cell phone, google maps, monitoring, personal tracking, safety","10.1145/1593105.1593150","","","","","","","2008","","Proceedings of the 46th Annual Southeast Regional Conference on XX","ACM-SE 46","","978-1-60558-105-7","Auburn, Alabama","ACM","New York, NY, USA"
"article","2858055","John  Rooksby and Parvin  Asadzadeh and Mattias  Rost and Alistair  Morrison and Matthew  Chalmers","","","","Personal Tracking of Screen Time on Digital Devices","284--296","","13","design, lived informatics, multi-device use, personal tracking, qualitative interviews, software trial","10.1145/2858036.2858055","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","2801612","Christian  Meurisch and Benedikt  Schmidt and Michael  Scholz and Immanuel  Schweizer and Max  M&#252;hlh&#228;user","","","","Labels: Quantified Self App for Human Activity Sensing","1413--1422","","10","annotated dataset, heterogeneous information sources, human activity sensing, personal tracking, quantified self","10.1145/2800835.2801612","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
