type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2983584,Maarten  den Braber,,,,The Emergence of Quantified Self As a Data-driven Movement to Promote Health and Wellness,1--1,,1,"lifelogging, quantified self",10.1145/2983576.2983584,,,,,,,2016,,Proceedings of the First Workshop on Lifelogging Tools and Applications,LTA '16,,978-1-4503-4517-0,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
article,2794318,Assunta  Matassa and Amon  Rapp,,,,Map: Making: Designing a Mobile Application for Enhancing Memories' Retrieval,994--1001,,8,"Cognitive Enhancement, Cognitive Quantified Self, Memory, Personal Informatics, Quantified Self",10.1145/2786567.2794318,,,,,,,2015,,Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,MobileHCI '15,,978-1-4503-3653-6,"Copenhagen, Denmark",ACM,"New York, NY, USA"
article,3064865,Nick  Merrill and Richmond  Wong and Noura  Howell and Luke  Stark and Lucian  Leahu and Dawn  Nafus,,,,Interrogating Biosensing in Everyday Life,364--367,,4,"biometrics, biosensing, materiality, quantified self",10.1145/3064857.3064865,,,,,,,2017,,Proceedings of the 2017 ACM Conference Companion Publication on Designing Interactive Systems,DIS '17 Companion,,978-1-4503-4991-8,"Edinburgh, United Kingdom",ACM,"New York, NY, USA"
article,2800965,Fredrik  Ohlin and Carl Magnus Olsson,,,,Beyond a Utility View of Personal Informatics: A Postphenomenological Framework,1087--1092,,6,"personal informatics, postphenomenology, quantified self",10.1145/2800835.2800965,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,2968328,Shaleph  O'Neill,,,,Stripe Painting: A Method of Expressing the Experience of Cycling Through 'Quantified Self' Data Visualisation,600--601,,2,"art, cycling, data, quantified self",10.1145/2968219.2968328,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2968315,Aris  Alissandrakis and Isabella  Nake,,,,A New Approach for Visualizing Quantified Self Data Using Avatars,522--527,,6,"avatars, data visualization, quantified self",10.1145/2968219.2968315,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2732815,Dhaval  Vyas and Zachary  Fitz-walter and Erica  Mealy and Alessandro  Soro and Jinglan  Zhang and Margot  Brereton,,,,Exploring Physical Activities in an Employer-Sponsored Health Program,1421--1426,,6,"HCI, activity monitoring, quantified self",10.1145/2702613.2732815,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '15,,978-1-4503-3146-3,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,2557604,Daniel  Buzzo,,,,Lost Time Never,9:1--9:4,9,4,"lifelogging, media, quantified self, time",10.1145/2557595.2557604,,,,,,,2013,,Proceedings of the 2013 Inputs-Outputs Conference: An Interdisciplinary Conference on Engagement in HCI and Performance,Inputs-Outputs '13,,978-1-4503-2581-3,"Brighton, United Kingdom",ACM,"New York, NY, USA"
article,2641321,Victor R. Lee and Mary  Briggs,,,,Lessons Learned from an Initial Effort to Bring a Quantified Self Meetup Experience to a New Demographic,707--710,,4,"education, high school, quantified self",10.1145/2638728.2641321,,,,,,,2014,,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication,UbiComp '14 Adjunct,,978-1-4503-3047-3,"Seattle, Washington",ACM,"New York, NY, USA"
article,2896363,Yafei  Wang and Ingmar  Weber and Prasenjit  Mitra,,,,Quantified Self Meets Social Media: Sharing of Weight Updates on Twitter,93--97,,5,"quantified self, smart scales, twitter",10.1145/2896338.2896363,,,,,,,2016,,Proceedings of the 6th International Conference on Digital Health Conference,DH '16,,978-1-4503-4224-7,"Montr&#233;al, Qu&#233;bec, Canada",ACM,"New York, NY, USA"
