"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3308714","Mousa  Ahmadi and Cristian  Borcea and Quentin  Jones","","","","Collaborative Lifelogging Through the Integration of Machine and Human Computation","23--24","","2","lifelogging, machine learning, self-tracking","10.1145/3308557.3308714","","","","","","","2019","","Proceedings of the 24th International Conference on Intelligent User Interfaces: Companion","IUI '19","","978-1-4503-6673-1","Marina del Ray, California","ACM","New York, NY, USA"
"article","2858045","Daniel A. Epstein and Monica  Caraway and Chuck  Johnston and An  Ping and James  Fogarty and Sean A. Munson","","","","Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use","1109--1113","","5","abandonment, personal informatics, self-tracking","10.1145/2858036.2858045","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","3154918","Jakob Eg Larsen and Thomas Blomseth Christiansen and Kasper  Eskelund","","","","Fostering Bilateral Patient-clinician Engagement in Active Self-tracking of Subjective Experience","427--430","","4","PGD, PTSD, engagement, self-tracking","10.1145/3154862.3154918","","","","","","","2017","","Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '17","","978-1-4503-6363-1","Barcelona, Spain","ACM","New York, NY, USA"
"article","2841208","Bettina  Graf and Maike  Kr&#252;ger and Felix  M&#252;ller and Alexander  Ruhland and Andrea  Zech","","","","Nombot: Simplify Food Tracking","360--363","","4","chatbot, human computer interaction, quantified self, tracking","10.1145/2836041.2841208","","","","","","","2015","","Proceedings of the 14th International Conference on Mobile and Ubiquitous Multimedia","MUM '15","","978-1-4503-3605-5","Linz, Austria","ACM","New York, NY, USA"
"article","2858445","Peter  West and Richard  Giordano and Max  Van Kleek and Nigel  Shadbolt","","","","The Quantified Patient in the Doctor's Office: Challenges &#38; Opportunities","3066--3078","","13","clinical decision making, quantified self, self-tracking","10.1145/2858036.2858445","","","","","","","2016","","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","CHI '16","","978-1-4503-3362-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","3025589","Helena M. Mentis and Anita  Komlodi and Katrina  Schrader and Michael  Phipps and Ann  Gruber-Baldini and Karen  Yarbrough and Lisa  Shulman","","","","Crafting a View of Self-Tracking Data in the Clinical Visit","5800--5812","","13","activity tracker, perception, quantified self, self-tracking","10.1145/3025453.3025589","","","","","","","2017","","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems","CHI '17","","978-1-4503-4655-9","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2800949","Ravi  Karkar and James  Fogarty and Julie A. Kientz and Sean A. Munson and Roger  Vilardaga and Jasmine  Zia","","","","Opportunities and Challenges for Self-experimentation in Self-tracking","991--996","","6","personal informatics, self-experimentation, self-tracking","10.1145/2800835.2800949","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3025510","Chia-Fang  Chung and Nanna  Gorm and Irina A. Shklovski and Sean  Munson","","","","Finding the Right Fit: Understanding Health Tracking in Workplace Wellness Programs","4875--4886","","12","health and wellness program, self-tracking, workplace","10.1145/3025453.3025510","","","","","","","2017","","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems","CHI '17","","978-1-4503-4655-9","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","3170605","Jochen  Meyer and Daniel  Epstein and Parisa  Eslambolchilar and Judy  Kay and Lie Ming  Tang","","","","A Short Workshop on Next Steps Towards Long Term Self Tracking","W05:1--W05:8","W05","8","health, long term, self tracking, wellbeing","10.1145/3170427.3170605","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3134671","Mayara  Costa Figueiredo and Clara  Caldeira and Tera L. Reynolds and Sean  Victory and Kai  Zheng and Yunan  Chen","","","","Self-Tracking for Fertility Care: Collaborative Support for a Highly Personalized Problem","36:1--36:21","36","21","fertility care, personal informatics, self-tracking","10.1145/3134671","Proc. ACM Hum.-Comput. Interact.","November 2017","1","CSCW","","December","2017","2573-0142","","","","","","ACM","New York, NY, USA"
